job_id,title,category,location,country,url
J0526-2157,Senior Developer - Java Fullstack,Software Development / Engineering,Hyderabad,India,https://cgi.njoyn.com/CORP/xweb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0526-2157&BRID=1307595&lang=1
J0526-0611,Python Developer (Github Copilot & DevOps) with 3-6 years of exp,Software Development / Engineering,Hyderabad,India,https://cgi.njoyn.com/CORP/xweb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0526-0611&BRID=1299308&lang=1
J0726-0427,Senior Software Engineer - Java Fullstack developer Sr,Software Development / Engineering,Hyderabad,India,https://cgi.njoyn.com/CORP/xweb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0726-0427&BRID=1319924&lang=1
J0626-0571,Senior Software Engineer - Java and IAM,Software Development / Engineering,Hyderabad,India,https://cgi.njoyn.com/CORP/xweb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0626-0571&BRID=1307475&lang=1
J0726-0866,Guidewire - PolicyCenter (Integration & Configuration) Lead,Software Development / Engineering,Hyderabad,India,https://cgi.njoyn.com/CORP/xweb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0726-0866&BRID=1322667&lang=1
J0626-2467,Software Enginner- Java with AWS,Software Development / Engineering,Hyderabad,India,https://cgi.njoyn.com/CORP/xweb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0626-2467&BRID=1312997&lang=1
J0626-2469,Java Developer,Software Development / Engineering,Hyderabad,India,https://cgi.njoyn.com/CORP/xweb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0626-2469&BRID=1312996&lang=1
J0626-1178,Senior Automation Tester,Testing/Quality Assurance,Hyderabad,India,https://cgi.njoyn.com/CORP/xweb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0626-1178&BRID=1322586&lang=1
J0426-1653,Senior Java Developer - Java + Microservices + DS,Software Development / Engineering,Hyderabad,India,https://cgi.njoyn.com/CORP/xweb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0426-1653&BRID=1298810&lang=1
J0326-1412,JAVA - Sr API Developer,Software Development / Engineering,Hyderabad,India,https://cgi.njoyn.com/CORP/xweb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0326-1412&BRID=1313369&lang=1
