title,job_id,designation,location,experience,skills,posted_date,url
FUNCTIONAL LEAD,275866,FUNCTIONAL LEAD,"Hyderabad, Telangana, India",8.0 to 12.5 Years ,"SAP C4C,BI",18-Feb-2026,https://careers.coforge.com/job/senior-technical-lead-hyderabad-2026021819113931
SENIOR ASSOCIATE - PROCESS,174613,,"Bengaluru, Karnataka, India",,  SAP MM SRM,,https://careers.coforge.com/job/sap-mm-consultant-arcolab-bangalore-sap-mm-srm-2023110410203778
SAP EWM Consultant,260198,FUNCTIONAL LEAD,"Bengaluru, Karnataka, India",5.5 to 9.5 Years ,SAP WM/EWM,17-Nov-2025,https://careers.coforge.com/job/functional-lead-bangalore-2025111711563890
Sql Developer,234808,,"Hyderabad, Telangana, India",2.0 to 6.0 Years ,  SQL SERVER,02-Jul-2025,https://careers.coforge.com/job/senior-software-engineer-hyderabad-2025070212450347
Duckcreek Policy Lead & Architect,290656,SENIOR ENGINEER,"Bhubaneswar, Odisha, India",2.0 to 6.0 Years ,Duck Creek,15-May-2026,https://careers.coforge.com/job/senior-engineer-greater-noida-2026051512405921
SENIOR ENGINEER,006fu00000JtVPtAAN-3-1,SENIOR ENGINEER,"Greater Noida, Uttar Pradesh, India",3 to 5yrs Years ,GUIDEWIRE CLAIMS CENTER,16-Jul-2026,https://careers.coforge.com/job/senior-engineer-greater-noida-2026071617413065
Lead Guidewire Billing Developer / Architect,219797,SENIOR ENGINEER,"Mumbai, Maharashtra, India",5.5 to 9.5 Years ,Guidewire  - Billing centre,17-Feb-2025,https://careers.coforge.com/job/technical-analyst-greater-noida-202502171857145
Guidewire Policy Tester,006fu00000JtVPtAAN-8-1,SENIOR TEAM LEADER,"Greater Noida, Uttar Pradesh, India",3 to 5yrs Years ,GUIDEWIRE POLICY CENTER,15-Jul-2026,https://careers.coforge.com/job/senior-team-leader-greater-noida-2026071514234975
SENIOR TECHNICAL ARCHITECT,200111,,"Bengaluru, Karnataka, India",12.5 to 18.0 Years ,"Snowflake, DBT, AWS, SQL",22-Aug-2024,https://careers.coforge.com/job/senior-technical-architect-bangalore-2024082210011152
Solution / Enterprise Architect,206630,,"Greater Noida, Uttar Pradesh, India",13.0 to 26.0 Years ,"Azure services, including Compute, Storage, Networking, Security, and Databases, Solutioning, Pre-sales, support, Architecture, .NET technologies (e.g., ASP.NET, .NET Core), application servers, and databases (e.g., SQL Server, Oracle)",16-Oct-2024,https://careers.coforge.com/job/enterprise-architect-greater-noida-2024101616213233
