title,location,url
Java BE Engineer,"Hyderabad, Telangana, India",https://careers.cognizant.com/india-en/jobs/00065277851/java-be-engineer/
SAP CAPM + Java,"Chennai, Tamil Nadu, India",https://careers.cognizant.com/india-en/jobs/00069795252/sap-capm-plus-java/
Java Full Stack Developer,"PUNE, Maharashtra, India",https://careers.cognizant.com/india-en/jobs/00063967071/java-full-stack-developer/
Java Developer,"PUNE, Maharashtra, India",https://careers.cognizant.com/india-en/jobs/00066097841/java-developer/
GeoSpatial Developer Java,"Hyderabad, Telangana, India",https://careers.cognizant.com/india-en/jobs/00069170341/geospatial-developer-java/
Java Full Stack Developer,"PUNE, Maharashtra, India",https://careers.cognizant.com/india-en/jobs/00066097842/java-full-stack-developer/
Java Full Stack Developer,"PUNE, Maharashtra, India",https://careers.cognizant.com/india-en/jobs/00063967073/java-full-stack-developer/
Kafka + Java + Data Engineer,"Bangalore, Karnataka, India",https://careers.cognizant.com/india-en/jobs/00068972321/kafka-plus-java-plus-data-engineer/
Java Fullstack Developer with Angular + AWS,"Bangalore, Karnataka, India",https://careers.cognizant.com/india-en/jobs/00069356551/java-fullstack-developer-with-angular-plus-aws/
Java Backend Developer with AWS,"Chennai, Tamil Nadu, India",https://careers.cognizant.com/india-en/jobs/00069783341/java-backend-developer-with-aws/
Java fullstack developer with Angular + Graphql,"Noida, Uttar Pradesh, India",https://careers.cognizant.com/india-en/jobs/00069260651/java-fullstack-developer-with-angular-plus-graphql/
Software Engineer,"Chennai, Tamil Nadu, India",https://careers.cognizant.com/india-en/jobs/00070025511/software-engineer/
windchill Developer,"PUNE, Maharashtra, India",https://careers.cognizant.com/india-en/jobs/00068944771/windchill-developer/
"Automation Anywhere, PAD, Prompt engineering/maintainance","Hyderabad, Telangana, India",https://careers.cognizant.com/india-en/jobs/00069160083/automation-anywhere-pad-prompt-engineeringmaintainance/
ORMB,"Chennai, Tamil Nadu, India",https://careers.cognizant.com/india-en/jobs/00065628081/ormb/
Sr. Software Engineer B3,"Hyderabad, Telangana, India",https://careers.cognizant.com/india-en/jobs/00070020561/sr-software-engineer-b3/
Informatica MDM,"Hyderabad, Telangana, India",https://careers.cognizant.com/india-en/jobs/00068542103/informatica-mdm/
Sr. Developer,"Hyderabad, Telangana, India",https://careers.cognizant.com/india-en/jobs/00063252372/sr-developer/
Selenium,"PUNE, Maharashtra, India",https://careers.cognizant.com/india-en/jobs/00066097721/selenium/
Sr. Executive - SailPoint,"Chennai, Tamil Nadu, India",https://careers.cognizant.com/india-en/jobs/00060094151/sr-executive-sailpoint/
SailPoint Developer,"Chennai, Tamil Nadu, India",https://careers.cognizant.com/india-en/jobs/00058022631/sailpoint-developer/
Reltio MDM,"KOLKATA, West Bengal, India",https://careers.cognizant.com/india-en/jobs/00069785751/reltio-mdm/
Software Engineer (GenAI),"Hyderabad, Telangana, India",https://careers.cognizant.com/india-en/jobs/00069129451/software-engineer-genai/
IBM Maximo Developer,"Hyderabad, Telangana, India",https://careers.cognizant.com/india-en/jobs/00068588681/ibm-maximo-developer/
Architect,"Chennai, Tamil Nadu, India",https://careers.cognizant.com/india-en/jobs/00069924381/architect/
Architect,"MUMBAI, Maharashtra, India / Bangalore, Karnataka, India",https://careers.cognizant.com/india-en/jobs/00069154413/architect/
Sr. Software Engineer B2,"Chennai, Tamil Nadu, India",https://careers.cognizant.com/india-en/jobs/00069627513/sr-software-engineer-b2/
Team Member,"Bangalore, Karnataka, India",https://careers.cognizant.com/india-en/jobs/00069587931/team-member/
Team Member,"Bangalore, Karnataka, India",https://careers.cognizant.com/india-en/jobs/00069587932/team-member/
LMS Technical Consultant / Integration Specialist,"Chennai, Tamil Nadu, India",https://careers.cognizant.com/india-en/jobs/00069734351/lms-technical-consultant-integration-specialist/
Sr. Product Test Specialist,"Chennai, Tamil Nadu, India",https://careers.cognizant.com/india-en/jobs/00068769121/sr-product-test-specialist/
Business Analyst with Mortgage SME,"Hyderabad, Telangana, India",https://careers.cognizant.com/india-en/jobs/00069746501/business-analyst-with-mortgage-sme/
Software Engineer,"Bangalore, Karnataka, India",https://careers.cognizant.com/india-en/jobs/000688638110/software-engineer/
