title,role,location,experience,skills,apply_id
Python with Gen AI,Associate Business Analyst,BANGALORE,1,Technology->AI-Data science->PYTHON,248759
Java Developer,Technology Analyst,BANGALORE,3,"Technology->Java->Springboot,Technology->Java->Spring->Spring",248702
Hadoop Admin,Associate Consultant,HYDERABAD,2,Technology->Big Data - Hadoop->Hadoop Administration->Hadoop,248700
MLOps Engineer,Associate Consultant,BANGALORE,2,"Technology->AI-Data science->PYTHON,Technology->AI-Physical AI-IOT->IOT Analytics - Machine Learning",248614
Python Developer,Associate Consultant,HYDERABAD,2,Technology->Open System->Open System- ALL->Python,248582
Devops,Technology Analyst,BANGALORE,3,Technology->Devops->Ansible,248532
Python + AI,Technology Analyst,BANGALORE,3,Technology->OpenSystem->Python - OpenSystem->Python,248530
CA Kolkatta- Drive,Associate Finance,Kolkata(WB),0,Domain->Finance->Accounting & Reporting,248521
Wireless,Associate Consultant,PUNE                     ,2,"Domain->Networks & Information Security->Wireless Technologies, Standards and Protocols->Wireless Technologies,Domain->SDN-NFV->Software Defined Access",248464
Angular Develeper,Technology Analyst,BANGALORE,3,Technology->UI & Markup Language->Angular JS/Angular 1.x->Angular 2,248460
Salesforce Developer,Technology Analyst,BANGALORE,3,Technology->Salesforce->Salesforce Lightning,248457
NET AI Consultant,Associate Consultant,BANGALORE,2,"Technology->Microsoft Technologies->.NET Frameworks,Technology->AI-AI Engineering->AI/ML Solution Architecture and Design->traditional ai ml",248456
Tosca Test engineer,Technology Analyst,BANGALORE,3,"Technology->Automated Testing->TOSCA,Technology->Automated Testing->Automated Testing - ALL->TOSCA",248437
IT Delivery,Technology Analyst,BANGALORE,3,Domain->Sustainability->ESG->Sustainability data management,248435
IT Delivery,Technology Analyst,BANGALORE,3,Domain->Telecom->IPTV,248434
Arrangement and modelling engineer,Technology Analyst,BANGALORE,3,Technology->CAD->Aveva->Aveva E3D,248431
LIMS Operation engineer,Technology Analyst,BANGALORE,3,Domain->Energy Oil & Gas - Downstream->Operations and Performance Management->LIMS - starLIMS/Thermo Fischer/Labware/Labvantage,248429
Teamcenter consultant,Technology Analyst,BANGALORE,3,"Technology->PDM / PLM->Teamcenter,Technology->Java->SOA and Webservices",248428
Aveva PI Consultant,Technology Analyst,BANGALORE,3,"Technology->PDM/PLM->Aveva P&ID,Technology->Energy Oil & Gas - RTDM->Real-time data management->OSI PI Notifications Engine",248426
PLM Windchill consultant,Technology Analyst,BANGALORE,3,Technology->PDM / PLM->Windchill,248371
NICE Cxone Developer,Technology Analyst,BANGALORE,3,"Technology->Infrastructure-Contact Center->IVR Concepts,Technology->Infrastructure-Contact Center->ContactCenter model",248370
CAD Design Engineer,Engineering Analyst,BANGALORE,3,Technology->CAD->Autodesk->Autodesk Inventor,248436
Analyst - Information Security,Analyst - Information Security,CHENNAI,3,Technology->Application Security->Application Security - ALL,248369
Tosca Automation Consultant,Quality Engineering Analyst,BANGALORE,3,"Technology->Automated Testing->TOSCA,Technology->Automated Testing->Automated Testing - ALL->TOSCA",248259
Devops Engineer,Associate Business Analyst,BANGALORE,2,"Technology->Cloud Platform->Amazon Webservices DevOps->AWS DevOps,Technology->Cloud Platform->Terraform,Technology->Container Platform->Docker,Technology->Container Platform->Kubernetes,Technology->Devops->Ansible,Technology->Open System->Linux",248212
AI Application Engineer,Associate Consultant,BANGALORE,2,"Technology->SAP Technical->SAP Business Technology Platform  (SAP BTP),Technology->AI-Package AI-SAP Technical->SAP AI",248208
Computer vision Engineer,Technology Analyst,BANGALORE,3,"Technology->AI-Data science->Computer Vision,Technology->OpenSystem->Python - OpenSystem,Technology->AI-AI Engineering->MLOps",248116
Network Test Engineer,Technology Analyst,BANGALORE,3,"Technology->Network->CMTS Network Testing,Domain->Telecom->OSS/BSS",248115
.Net Developer with SQL,Technology Analyst,BANGALORE,3,"Technology->Cloud Security->AWS - Infrastructure Security->AWS Firewall Manager,Technology->Mobile Testing->Device Clouds->AWS Device Cloud,Technology->Microsoft Technologies->.NET Frameworks->.NET Core,Technology->.NET application Support->.NET application Support",248103
Go Lang Developer,Technology Analyst,BANGALORE,3,"Technology->Blockchain->Go language,Technology->Programing language C->go lang",248047
Java Fullstack (Angular) Developer,Technology Analyst,BANGALORE,3,"Technology->Full stack->Java Full stack,Technology->UI & Markup Language->ANGULARJS2",248046
CA -Fresher,Associate Finance,BANGALORE,0,Domain->Finance->Accounting & Reporting,248035
CA -,Associate Finance,BANGALORE,0,Domain->Finance->Accounting & Reporting,248030
Associate Security Officer,Associate Security Officer,MYSORE,3,Domain->other solutions->Finacle Virtual Lounge,247989
Aveva PI Associate Consultant,Associate Consultant,BANGALORE,2,Technology->PDM/PLM->Aveva P&ID,247972
LLM Azure Developer,Technology Analyst,BANGALORE,3,"Technology->AI-AI Engineering->LLMOps,Technology->AI-AI Hyperscalers->Azure Agentic AI Services->Azure AI",247828
Full Stack Developer,Technology Analyst,BANGALORE,3,"Technology->Full stack->Java Full stack->Frontend(Angular)+Enterprise layer(Python)+DB,Technology->Full stack->.Net Full stack->Frontend(Angular)+Enterprise layer(.NET)+DB,Technology->Reactive Programming->react JS",247826
RPA Developer Automation Anywhere,Technology Analyst,BANGALORE,3,Technology->AI-RPA->Automation Anywhere,247825
Java_ Selenium Senior Testing Engineer,Quality Engineering Analyst,BHUBANESWAR              ,3,"Technology->Automated Testing->Selenium-Java,Technology->Mobile Testing->Mobile Functional Test Automation (iOS, Android)->Selenium",247739
Gen AI Developer,Technology Analyst,BANGALORE,3,Technology->AI-AI Engineering->AI/ML Solution Architecture and Design->generative ai,247684
Oracle Supply Chain Management Consultant,Associate Business Analyst,BANGALORE,1,"Technology->Oracle Cloud->Inventory Management Cloud,Technology->Oracle eBS Functional->Oracle Order Management",247657
Java Developer,Technology Analyst,BANGALORE,3,"Technology->Java->Spring->Spring,Technology->Java->Springboot",247652
Oracle EPM Consultant,Associate Consultant,BANGALORE,2,"Business Intelligence - EPM->Hyperion Administration,Business Intelligence - EPM->Hyperion->Financial Consolidation and Close Cloud (FCCS),Business Intelligence - EPM->Hyperion Financial Planning (HFM),Business Intelligence - EPM->Hyperion Planning,Oracle Egde Applications ->Oracle Hyperion",247574
Java Angular Developer,Technology Analyst,CHENNAI,3,"Java,Java->Microservices,Java->Springboot,Technology->UI & Markup Language->Angular JS/Angular 1.x->Angular 2",247464
Gen AI Developer,Technology Analyst,BANGALORE,3,"Technology->AI-Generative AI->Generative AI for Data Analytics,Technology->AI-Generative AI->Conversational AI Platform,Technology->AI-AI Engineering->AI/ML Solution Architecture and Design->generative ai,Technology->AI-Generative AI->Generative AI - Basic,Technology->AI-Data science->Machine Learning,Technology->AI-Data science->Databricks Machine Learning,Technology->SAP Industry Solution->SAP Ind Machinery & components,Technology->AI-AI Hyperscalers->Azure Agentic AI Services->Azure Machine Learning,Technology->AI-AI Engineering->LLMOps",247453
.NET Core Developer,Technology Analyst,BANGALORE,3,Technology->Microsoft Technologies->.NET Frameworks->.NET Core,247442
Java AI Developer,Technology Analyst,PUNE                     ,3,"Technology->Java->Java Application Support,Technology->AI-Responsible AI->Responsible AI",247440
Oracle Fusion Financials Consultantinta,Associate Business Analyst,BANGALORE,1,"Oracle Finance->Oracle Cloud Finance,Oracle Finance->Oracle Fusion Finance",247395
IT Delivery,Technology Analyst,HYDERABAD,3,"Domain->Finacle-IVS->Automation testing,Technology->Mobile Automation Testing->Mobile Test Automation process,Technology->Mobile Testing->Mobile Automation Testing",247365
