title,role,location,experience,skills,apply_id
Software Developer 3,Software Developer 3,"BENGALURU, KARNATAKA, India",,,334971
Software Developer 4,Software Developer 4,"BENGALURU, KARNATAKA, India",,,336598
Senior Application Software Engineer,Senior Application Software Engineer,India,,,340249
Principal Technical Program Manager,Principal Technical Program Manager,"BENGALURU, KARNATAKA, India",,,340709
Financial Analyst 3,Financial Analyst 3,"BENGALURU, KARNATAKA, India",,,340864
Sales Director-Tech Cloud,Sales Director-Tech Cloud,"MUMBAI, MAHARASHTRA, India",,,332826
Software Developer 3,Software Developer 3,"BENGALURU, KARNATAKA, India",,,335136
"Senior Application Software Engineer, Oracle Health","Senior Application Software Engineer, Oracle Health",India,,,337306
Temp Staff,Temp Staff,"BENGALURU, KARNATAKA, India",,,341821
"Senior Manager, Machine Learning Engineering","Senior Manager, Machine Learning Engineering","BENGALURU, KARNATAKA, India",,,341968
Senior Application Software Engineer,Senior Application Software Engineer,"BENGALURU, KARNATAKA, India",,,340953
Software Developer 3,Software Developer 3,"BENGALURU, KARNATAKA, India",,,335165
Software Developer 4,Software Developer 4,"BENGALURU, KARNATAKA, India",,,337440
Senior Financial Analyst,Senior Financial Analyst,"BENGALURU, KARNATAKA, India",,,340343
Principal Product Manager,Principal Product Manager,"BENGALURU, KARNATAKA, India",,,340888
Principal Cloud Engineer,Principal Cloud Engineer,"BENGALURU, KARNATAKA, India",,,341164
Business Proposal Rep 4,Business Proposal Rep 4,"PUNE, MAHARASHTRA, India",,,341910
Business Proposal Rep 3,Business Proposal Rep 3,"BENGALURU, KARNATAKA, India",,,341909
Senior Network Developer,Senior Network Developer,"BENGALURU, KARNATAKA, India",,,341912
"Director, Core Infrastructure Engineering","Director, Core Infrastructure Engineering","BENGALURU, KARNATAKA, India",,,341947
Sales Pipeline,Sales Pipeline,India,,,313133
"Multi-Cloud Sales Specialist , India South Region","Multi-Cloud Sales Specialist , India South Region","BENGALURU, KARNATAKA, India",,,334839
Core Infrastructure Engineer 3,Core Infrastructure Engineer 3,"BENGALURU, KARNATAKA, India",,,335126
Principal Core Infrastructure Engineer,Principal Core Infrastructure Engineer,India,,,339948
Principal Product Manager,Principal Product Manager,"HYDERABAD, TELANGANA, India",,,340054
Senior Financial Analyst (FP&A) – Global Revenue Finance,Senior Financial Analyst (FP&A) – Global Revenue Finance,"BENGALURU, KARNATAKA, India",,,340530
ODI Developer,ODI Developer,"BENGALURU, KARNATAKA, India",,,341792
Oracle Fusion Middleware Admin,Oracle Fusion Middleware Admin,"HYDERABAD, TELANGANA, India",,,341795
Oracle Fusion Middleware Admin,Oracle Fusion Middleware Admin,"BENGALURU, KARNATAKA, India",,,341796
Oracle Fusion Middleware Admin,Oracle Fusion Middleware Admin,"NOIDA, UTTAR PRADESH, India",,,341797
Temp Staff,Temp Staff,"BENGALURU, KARNATAKA, India",,,341811
Principal Network Developer,Principal Network Developer,"BENGALURU, KARNATAKA, India",,,341842
Senior Site Reliability Engineer,Senior Site Reliability Engineer,"BENGALURU, KARNATAKA, India",,,341845
Senior Systems Engineer,Senior Systems Engineer,"BENGALURU, KARNATAKA, India",,,341852
Principal Site Reliability Engineer,Principal Site Reliability Engineer,India,,,341850
Senior Site Reliability Engineer,Senior Site Reliability Engineer,"BENGALURU, KARNATAKA, India",,,341851
"Director, Core Infrastructure Engineering","Director, Core Infrastructure Engineering","BENGALURU, KARNATAKA, India",,,341868
"Director, Platform Software Engineering","Director, Platform Software Engineering","BENGALURU, KARNATAKA, India",,,340619
Lead Principal Core Infrastructure Engineer,Lead Principal Core Infrastructure Engineer,"BENGALURU, KARNATAKA, India",,,335272
"Software Developer 3, Oracle Health","Software Developer 3, Oracle Health","BENGALURU, KARNATAKA, India",,,336253
Principal Product Manager,Principal Product Manager,"HYDERABAD, TELANGANA, India",,,339906
Senior Field Support Technician,Senior Field Support Technician,"NAVI MUMBAI, MAHARASHTRA, India",,,341681
Senior Platform Software Engineer,Senior Platform Software Engineer,"BENGALURU, KARNATAKA, India",,,341694
Software Developer 3,Software Developer 3,India,,,336822
Senior Application Software Engineer,Senior Application Software Engineer,"BENGALURU, KARNATAKA, India",,,337987
Application Software Engineer 2,Application Software Engineer 2,India,,,338461
Facilities Specialist 5,Facilities Specialist 5,"PUNE, MAHARASHTRA, India",,,340718
Senior Platform Software Engineer,Senior Platform Software Engineer,India,,,341529
Senior Principal NetSuite Functional Consultant,Senior Principal NetSuite Functional Consultant,"HYDERABAD, TELANGANA, India",,,341195
Senior Platform Software Engineer (Date Engineering),Senior Platform Software Engineer (Date Engineering),India,,,337231
Senior Site Reliability Engineer,Senior Site Reliability Engineer,"HYDERABAD, TELANGANA, India",,,340838
Senior Platform Software Engineer,Senior Platform Software Engineer,"BENGALURU, KARNATAKA, India",,,341451
Senior Principal Advanced Services Engineer,Senior Principal Advanced Services Engineer,India,,,341456
Client Success Specialist III,Client Success Specialist III,"NOIDA, UTTAR PRADESH, India",,,339257
Oracle Health & Life Sciences Alliances & Channels Director,Oracle Health & Life Sciences Alliances & Channels Director,Singapore,,,329802
QA Analyst 3-ProdDev,QA Analyst 3-ProdDev,"BENGALURU, KARNATAKA, India",,,337374
Oracle Database Administrator,Oracle Database Administrator,"BENGALURU, KARNATAKA, India",,,339695
Principal Backend (Java/ Python) Software Engineer – Cloud Platform & AI,Principal Backend (Java/ Python) Software Engineer – Cloud Platform & AI,"BENGALURU, KARNATAKA, India",,,340199
Principal Platform Software Engineer,Principal Platform Software Engineer,"BENGALURU, KARNATAKA, India",,,340231
Principal Data Systems Software Engineer,Principal Data Systems Software Engineer,"BENGALURU, KARNATAKA, India",,,340285
"Cloud Data Platform Sales, Hyderabad","Cloud Data Platform Sales, Hyderabad","HYDERABAD, TELANGANA, India",,,332943
Senior Application Software Engineer,Senior Application Software Engineer,"BENGALURU, KARNATAKA, India",,,337307
Senior Advanced Services Engineer,Senior Advanced Services Engineer,India,,,339927
Principal Data Systems Software Engineer,Principal Data Systems Software Engineer,"BENGALURU, KARNATAKA, India",,,340316
Financial Analyst 4 Corp FP&A,Financial Analyst 4 Corp FP&A,"BENGALURU, KARNATAKA, India",,,340594
Senior Core Infrastructure Engineer,Senior Core Infrastructure Engineer,"BENGALURU, KARNATAKA, India",,,340733
OFD Senior Sales Specialist,OFD Senior Sales Specialist,"GURUGRAM, HARYANA, India",,,341166
Principal Core Infrastructure Engineer,Principal Core Infrastructure Engineer,"BENGALURU, KARNATAKA, India",,,341204
Principal Application Software Engineer,Principal Application Software Engineer,"BENGALURU, KARNATAKA, India",,,336259
Senior Core Infrastructure Engineer,Senior Core Infrastructure Engineer,"BENGALURU, KARNATAKA, India",,,341154
"Architect, Networking - IDC","Architect, Networking - IDC",India,,,341124
Sales Director-Tech Cloud,Sales Director-Tech Cloud,"GURUGRAM, HARYANA, India",,,340980
Cloud Solution Engineer,Cloud Solution Engineer,"GUJARAT, India",,,338867
Financial Analyst 3,Financial Analyst 3,"BENGALURU, KARNATAKA, India",,,340340
Senior Core Infrastructure Engineer,Senior Core Infrastructure Engineer,India,,,340689
Principal Application Software Engineer,Principal Application Software Engineer,"BENGALURU, KARNATAKA, India",,,340956
Senior Application Software Engineer,Senior Application Software Engineer,India,,,340961
Core infrastructure engineer 2,Core infrastructure engineer 2,"BENGALURU, KARNATAKA, India",,,340977
Principal Data Systems Software Engineer,Principal Data Systems Software Engineer,"BENGALURU, KARNATAKA, India",,,340979
Senior Application Software Engineer,Senior Application Software Engineer,"BENGALURU, KARNATAKA, India",,,336252
Senior Advanced Services Engineer,Senior Advanced Services Engineer,India,,,339928
"Lead Principal Advanced Services Engineer- (Middleware,OIC)","Lead Principal Advanced Services Engineer- (Middleware,OIC)","BENGALURU, KARNATAKA, India",,,340324
AI Architect,AI Architect,"BENGALURU, KARNATAKA, India",,,340901
AI Architect,AI Architect,"BENGALURU, KARNATAKA, India",,,340905
AI Architect,AI Architect,"BENGALURU, KARNATAKA, India",,,340907
AI Architect,AI Architect,"BENGALURU, KARNATAKA, India",,,340904
AI Architect,AI Architect,"BENGALURU, KARNATAKA, India",,,340906
Oracle Fusion ERP Finance Expert,Oracle Fusion ERP Finance Expert,"BENGALURU, KARNATAKA, India",,,340920
Principal Data Systems Software Engineer,Principal Data Systems Software Engineer,"BENGALURU, KARNATAKA, India",,,340485
Principal Oracle Health Millennium Support & Migration Engineer,Principal Oracle Health Millennium Support & Migration Engineer,India,,,337487
Principal Oracle Health Implementation Engagement / Project Manager,Principal Oracle Health Implementation Engagement / Project Manager,India,,,337484
Principal Advanced Services Engineer,Principal Advanced Services Engineer,India,,,337490
Principal Oracle Health Integration Architect,Principal Oracle Health Integration Architect,India,,,337492
Principal Oracle Health Data Migration Architect,Principal Oracle Health Data Migration Architect,India,,,337497
Principal Oracle Health Data Migration Architect,Principal Oracle Health Data Migration Architect,India,,,337495
Principal Oracle Health Millennium Support & Migration Engineer,Principal Oracle Health Millennium Support & Migration Engineer,India,,,337494
Principal Oracle Health Systems Engineer – HIE,Principal Oracle Health Systems Engineer – HIE,India,,,337503
Senior Data Systems Software Engineer,Senior Data Systems Software Engineer,"BENGALURU, KARNATAKA, India",,,337648
Principal Platform Software Engineer,Principal Platform Software Engineer,"BENGALURU, KARNATAKA, India",,,339945
Oracle ERP Fusion PPM implementation Consultant,Oracle ERP Fusion PPM implementation Consultant,India,,,340315
Core Infrastructure Engineer 2,Core Infrastructure Engineer 2,"BENGALURU, KARNATAKA, India",,,340729
Senior Platform Software Engineer,Senior Platform Software Engineer,"BENGALURU, KARNATAKA, India",,,340737
Oracle Database Administrator,Oracle Database Administrator,"HYDERABAD, TELANGANA, India",,,340744
Oracle Fusion ERP Functional Consultant-Finance,Oracle Fusion ERP Functional Consultant-Finance,"PUNE, MAHARASHTRA, India",,,340764
Principal Platform Software Engineer,Principal Platform Software Engineer,"BENGALURU, KARNATAKA, India",,,340785
Senior Financial Analyst,Senior Financial Analyst,"BENGALURU, KARNATAKA, India",,,340561
EPM Consultant (ARCS)-Contractor role,EPM Consultant (ARCS)-Contractor role,India,,,340186
