job_id,title,location,team,experience,employment_type,craft,url
2026-144904,Manager Data Engineering,"Gurgaon, Haryana, India",Technology and Engineering,Senior Level,Full-time,Data Engineering,https://careers.publicissapient.com/job-details/2026-144904-manager-data-engineering-gurgaon
2026-144911,Senior Associate Data Engineering L2,"Gurgaon, Haryana, India",Technology and Engineering,Associate Level,Full-time,Data Engineering,https://careers.publicissapient.com/job-details/2026-144911-senior-associate-data-engineering-l2-gurgaon
2026-144915,Senior Associate Data Science L2,"Bengaluru, Karnataka, India",Technology and Engineering,Associate Level,Full-time,Data Science & AI,https://careers.publicissapient.com/job-details/2026-144915-senior-associate-data-science-l2-bengaluru
2026-144917,Manager Data Science,"Gurgaon, Haryana, India",Technology and Engineering,Senior Level,Full-time,Data Science & AI,https://careers.publicissapient.com/job-details/2026-144917-manager-data-science-gurgaon
2026-144968,Manager Technology | Python,"Noida, Uttar Pradesh, India",Technology and Engineering,Senior Level,Full-time,General Tech,https://careers.publicissapient.com/job-details/2026-144968-manager-technology---python-noida
2026-145046,Senior Systems Engineer,"Bengaluru, Karnataka, India",Technology and Engineering,Associate Level,Full-time,Sustain Engineering,https://careers.publicissapient.com/job-details/2026-145046-senior-systems-engineer-bengaluru
2026-145047,Systems Analyst,"Hyderabad, Telangana, India",Technology and Engineering,Associate Level,Full-time,Sustain Engineering,https://careers.publicissapient.com/job-details/2026-145047-systems-analyst-hyderabad
2026-145060,Senior Product Manager,"Gurgaon, Haryana, India",Product and Agile Management,Senior Level,Full-time,Product Management,https://careers.publicissapient.com/job-details/2026-145060-senior-product-manager-gurgaon
2026-150989,Senior Manager Technology | Python,"Bengaluru, Karnataka, India",Technology and Engineering,Senior Level,Others,General Tech,https://careers.publicissapient.com/job-details/2026-150989-senior-manager-technology---python-bengaluru
2026-153183,Senior Associate Staffing,"Mumbai, Maharashtra, India",Corporate Opportunities,Associate Level,Others,PS Intl Staffing,https://careers.publicissapient.com/job-details/2026-153183-senior-associate-staffing-mumbai
2026-153217,Senior Associate Finance,"Gurgaon, Haryana, India",Corporate Opportunities,Associate Level,Full-time,Accounting - India,https://careers.publicissapient.com/job-details/2026-153217-senior-associate-finance-gurgaon
2026-153612,Manager Fulfillment,"Gurgaon, Haryana, India",Corporate Opportunities,Senior Level,Others,none,https://careers.publicissapient.com/job-details/2026-153612-manager-fulfillment-gurgaon
2026-155555,PS|Senior Associate Finance|GRO,"Gurgaon, Haryana, India",Corporate Opportunities,Associate Level,Full-time,GRO Management,https://careers.publicissapient.com/job-details/2026-155555-ps-senior-associate-finance-gro-gurgaon
2026-155556,PS|Manager Finance|GRO India,"Gurgaon, Haryana, India",Corporate Opportunities,Senior Level,Others,GRO India,https://careers.publicissapient.com/job-details/2026-155556-ps-manager-finance-gro-india-gurgaon
2026-166102,Senior Associate Technology L1_Python,"Gurgaon, Haryana, India",Technology and Engineering,Associate Level,Full-time,General Tech,https://careers.publicissapient.com/job-details/2026-166102-senior-associate-technology-l1-python-gurgaon
2026-166103,Senior Associate Technology L2_Python,"Gurgaon, Haryana, India",Technology and Engineering,Associate Level,Full-time,General Tech,https://careers.publicissapient.com/job-details/2026-166103-senior-associate-technology-l2-python-gurgaon
2026-168505,Senior Associate Compensation & Benefits,"Gurgaon, Haryana, India",Corporate Opportunities,Associate Level,Others,Compensation and Benefits,https://careers.publicissapient.com/job-details/2026-168505-senior-associate-compensation---benefits-gurgaon
