job_id,title,location,country,job_family,employment_type,employee_type,url
JR323939,Software Engineering PMTS,India - Bangalore,India,Software Engineering,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Software-Engineering-PMTS_JR323939-1
JR324659,Strategic Account Executive - Automotive Industry,India - Gurgaon,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Gurgaon/Strategic-Account-Executive---Automotive-Industry_JR324659
JR328498,"Senior Manager, Technical Consulting (Salesforce and Finance or Insurance OR Healthcare domain exp OR Consumer Goods/FMCG mandatory)",India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Senior-Manager--Technical-Consulting--Finance-or-Insurance-domain-exp-mandatory-_JR328498
JR329680,Salesforce Industry Success Architect,India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Success-Architect---DevOps---Industries_JR329680
JR332616,Strategic Account Executive - Telecom Industry,India - Gurgaon,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Gurgaon/Strategic-Account-Executive---Telecom-Industry_JR332616
JR333845,Account Executive - Sri Lanka,India - Bangalore,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Named-Account-Executive---South-India---Sri-Lanka_JR333845
JR334284,Senior Technical Architect-(Salesforce exp) Consumer Goods/Revenue cloud/ Retail/FMCG,India - Bangalore,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Senior-Technical-Architect--Consumer-Goods-Revenue-cloud--Retail-FMCG_JR334284
JR335213,"Senior Manager, Software Engineering (ERP Transformation)",India - Hyderabad,India,Software Engineering,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Senior-Manager--Software-Engineering--Core-Finance-_JR335213
JR335226,Zuora Revenue Systems Engineer,India - Hyderabad,India,Software Engineering,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Zuora-Revenue-Systems-Engineer_JR335226-1
JR335225,Vertex Tax System Engineer,India - Hyderabad,India,Software Engineering,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Workday-System-Analyst--Software-Engineer--SMTS-_JR335225
JR335227,"SMTS, Zuora Revenue System Engineer",India - Hyderabad,India,Software Engineering,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/SMTS--Zuora-Revenue-System-Engineer_JR335227
JR336031,"Principal, Specialist SE",India - Mumbai,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Mumbai/Principal--Specialist-SE_JR336031
JR338309,Sr. Product Manager (Vertex Tax),India - Hyderabad,India,Product,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Sr-Product-Manager--Vertex-Tax-_JR338309
JR339859,Named Account Executive,India - Bangalore,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Named-Account-Executive_JR339859
JR340233,"Director, Strategy & Enablement",India - Bangalore,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Director--Strategy---Enablement_JR340233
JR342430,Territory Account Executive - IT/ITES,India - Bangalore,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Territory-Account-Executive---IT-ITES_JR342430
JR343748,Territory Account Executive,India - Mumbai,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Mumbai/Territory-Account-Executive_JR343748
JR344174,Commercial Architecture Director,India - Bangalore,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Commercial-Architecture-Director_JR344174
JR344881,"Principal, Account SE - IT/ITES",India - Mumbai,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Mumbai/Principal--Account-SE---IT-ITES_JR344881
JR346560,Senior Technical Consultant,India - Bangalore,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Senior-Technical-Consultant_JR346560
JR346747,"Field Marketing Sr Analyst – Executive Programs, India",India - Bangalore,India,Marketing & Communications,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Field-Marketing-Sr-Analyst---Executive-Programs--India_JR346747
JR347333,Senior Accountant/ Accountant,India - Hyderabad,India,Finance,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Senior-Accountant--Accountant_JR347333
JR347614,Senior Product Manager - LLM Fleet Management,India - Bangalore,India,Product,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Senior-Product-Manager---Agentforce-IT_JR347614
JR347743,Territory Account Executive - SMB,India - Mumbai - Remote,India,Sales,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Mumbai---Remote/Territory-Account-Executive---SMB_JR347743
