job_id,title,location,department,work_type,url
PRINC019192,Principal Software Engineer- Eng - JAVA + AI Architect,"Noida,UP,India",Software & Product Development,onsite,https://apply.ukg.com/careers/job/893396050024
SRSTA019193,Sr. Staff Software Engineer- Eng - JAVA + AI,"Noida,UP,India",Software & Product Development,onsite,https://apply.ukg.com/careers/job/893396050111
SOFTW019559,Software Engineer III- Eng ( Java Fullstack),"Noida,UP,India",Software & Product Development,onsite,https://apply.ukg.com/careers/job/893396763601
SOFTW019176,Software Engineer III- Java & AI,"Noida,UP,India",Software & Product Development,onsite,https://apply.ukg.com/careers/job/893396040041
SOFTW018037,Software Engineer III- Eng (Java Fullstack),"Noida,UP,India",Software & Product Development,onsite,https://apply.ukg.com/careers/job/893394325530
SOFTW019055,Software Engineer III- Java,"Noida,UP,India",Software & Product Development,onsite,https://apply.ukg.com/careers/job/893395772765
SOFTW017707,Software Engineer III- Eng - ROR,"Noida,UP,India",Software & Product Development,hybrid,https://apply.ukg.com/careers/job/893393874286
MGRSO018868,Mgr. Software Engineering,"Noida,UP,India",Software & Product Development,hybrid,https://apply.ukg.com/careers/job/893395593888
SRSTA018707,Sr. Staff Software Engineer- Eng,"Noida,UP,India",Software & Product Development,onsite,https://apply.ukg.com/careers/job/893395317594
LEADI018623,Lead Integration Consultant - Boomi + WFM/WFD,"Noida,UP,India",Customer Delivery/Implementation Services,onsite,https://apply.ukg.com/careers/job/893395260707
STAFF019190,Staff Software Engineer- Eng,"Noida,UP,India",Software & Product Development,onsite,https://apply.ukg.com/careers/job/893396050026
SOFTW019187,Software Engineer III- Eng,"Noida,UP,India",Software & Product Development,hybrid,https://apply.ukg.com/careers/job/893396050097
STAFF018709,Staff Software Engineer- Eng,"Noida,UP,India",Software & Product Development,onsite,https://apply.ukg.com/careers/job/893395317587
SOFTW018602,Software Engineer III- Eng,"Noida,UP,India",Software & Product Development,onsite,https://apply.ukg.com/careers/job/893395237964
SOFTW018822,Software Engineer III- Eng,"Noida,UP,India",Software & Product Development,hybrid,https://apply.ukg.com/careers/job/893395498432
SOFTW018330,Software Engineer III- Eng,"Noida,UP,India",Software & Product Development,onsite,https://apply.ukg.com/careers/job/893394920915
STAFF019595,Staff Site Reliability Engineer- Eng,"Noida,UP,India",Software & Product Development,onsite,https://apply.ukg.com/careers/job/893396798211
STAFF018617,Staff Software Engineer-.NET,"Noida,UP,India",Software & Product Development,hybrid,https://apply.ukg.com/careers/job/893395256532
STAFF018708,Staff Software Engineer- Eng,"Noida,UP,India",Software & Product Development,onsite,https://apply.ukg.com/careers/job/893395317590
SOFTW019523,Software Engineer III- Eng,"Noida,UP,India",Software & Product Development,hybrid,https://apply.ukg.com/careers/job/893396718293
