title,role,location,experience,skills,apply_id
Performance Testing,Senior Lead Software Engineer,"Hyderabad, India",5-7 Years,DA-NFPerfTestJMeterAPM.,creq264900
Lead UI & API Engineer,Lead Software Engineer,"Chennai, India",,"DE-Python_API Layer (with NoSQL DBs), DevOps.",creq265217
Senior Consultant,Lead Software Engineer,"Hyderabad, India",,DE-Web Foundation_Spring Data.,creq265725
Packaging Engineer,Lead Software Engineer,"Hyderabad, India",,BU Specific Skill Cluster.,creq265717
Project Scrum Master,Architect (Level: Manager),"Hyderabad, India",,PMT-PROJECT MANAGEMENT-CORE.,creq264890
IOS Developer,Lead Software Engineer,"Bangalore, India",,DE-Mobile-iOS_Fullstack_Dev_AWS.,creq264235
Streamlit & Databricks API,Lead Software Engineer,"Chennai, India",,"DE-Python_API Layer (with NoSQL DBs), DevOps.",creq265563
HRBP - Senior Consultant,Senior Consultant-HR,"Hyderabad, India",,Not Mapped Skill Cluster.,job-261343
TMT Offering Lead,Principal Architect (Level: Director),"Bangalore, India",,CS-Telco-BSS-SSM-CSM.,job-250079
Dotnet Developer,Lead Software Engineer,"Bangalore, India",,"DE-Python_Full Stack (with NoSQL), Frameworks, DevOps.",creq264269
Data Engineer with GCP,Senior Software Engineer,"Hyderabad, India",,"Data-BigQuery with DataProc, DataFlow,DataFusion,GCS, BigTable,Cloud functions .",creq265698
Python QA,Lead Software Engineer,"Hyderabad, India",,DA-WebSelPythnRobot.,creq266267
Java,Software Engineer,"Bangalore, India",,"DE-Full Stack, REST API, ORM, NO SQL.",creq264678
Consultant,Senior Software Engineer,"Chennai, India",,AIMS-GenAISupport-Azure.,creq266025
Java Developer,Lead Software Engineer,"Hyderabad, India",,DE-Full Stack Foundation.,creq264984
Site Reliability Engineer,Systems Architect (Level: Senior Manager),"Hyderabad, India",,AIMS-ObservabilityCOTS.,creq260232
AEM Developer,Senior Software Engineer,"Bangalore, India",,CX-DXP-Adobe-AEM-Sites.,creq265428
Mainframe developer,Lead Software Engineer,"Hyderabad, India",,DE-Mainframe_Vanila_Batch.,creq265843
Mainframe,Lead Software Engineer,"Hyderabad, India",,DE-Mainframe_Vanila_online_Batch.,creq265842
Salesforce Developer,Lead Software Engineer,"Hyderabad, India",,SF-Lightning Dev.,creq265962
Senior Tech Lead,Lead Software Engineer,"Hyderabad, India",,"Data-PostgreSQL with Data Modeling,Performance Tuning,ETL.",creq265592
Python RobotQA,Lead Software Engineer,"Hyderabad, India",,DA-WebSelPythnRobot.,creq266251
GEN AI,Associate Architect (Level: Associate Manager),"Hyderabad, India",,AILab-GENAI-GCP.,creq253433
Java Kafka Developer,Software Engineer,"Hyderabad, India",,DE-Service Dev Foundation.,creq266071
DotNet FSD,Lead Software Engineer,"Chennai, India",,DE-.Net n-Tier WebForm Applications .,creq266120
PM - Digital Banking,Systems Architect (Level: Senior Manager),"Chennai, India",,PMT-PROJECT MANAGEMENT-CORE.,creq264792
Data Enginner,Lead Software Engineer,"Chennai, India",,"Data-AWS Glue with EMR, Spark, Redshift,Kinesis,S3,AWS Native Data Services.",creq264217
Tyspescript Angular,Architect (Level: Manager),"Hyderabad, India",,DE-Web-Angular_Foundation.,creq264254
Tech Lead,Lead Software Engineer,"Hyderabad, India",,"DE-Service Dev Foundation, MQ.",creq265958
SRE with GCP,Senior Software Engineer,"Pune, India",,AIMS-SREConsultancy.,creq263523
Tech Lead-Java,Lead Software Engineer,"Hyderabad, India",,DE-Service Dev Foundation.,creq266174
BSA,Lead Software Engineer,"Chennai, India",,CS-BFS-CM-INVBANK.,creq265257
Architect (ATC),Architect (Level: Manager),"Pune, India",,DE-.NET Core n-Tier Cross Platform Applications.,creq265773
Java Developer,Senior Software Engineer,"Hyderabad, India",,"DE-Sprint Boot, Spring Data.",creq266093
Servicenow SPM,Software Engineer,"Chennai, India",,SN-Strategic Portfolio Management.,creq265701
IBM AS400 Developer,Senior Software Engineer,"Bangalore, India",,DE-Midrange_RPG_Freeformat.,creq262895
IBM AS400 Developer,Lead Software Engineer,"Pune, India",,DE-Midrange_RPG_Freeformat.,creq263025
Cloud Admin,Architect (Level: Manager),"Bangalore, India",,"Data-Azure Synapse with Azure Databricks, ADF, ADLS, Azure SQL, Azure Functions.",creq263758
Pega UI,Lead Software Engineer,"Gurgaon, India",,Pega-Pega Platform Skills + CLM/KYC.,creq264101
BA capital market,Lead Software Engineer,"Gurgaon, India",,CS-BFS-CM-ASSET-MGMT.,creq265074
QA Selenium AI,Lead Software Engineer,"Gurgaon, India",,DA-WebSeleniumJava.,creq265075
Java SRE,Lead Software Engineer,"Gurgaon, India",,AIMS-SREDevJava.,creq265851
PostgreSQL Dev,Lead Software Engineer,"Gurgaon, India",,"Data-PostgreSQL with Data Modeling,Performance Tuning,ETL.",creq266206
QA,Senior Software Engineer,"Bangalore, India",,DA-Media Smart TV.,creq265754
Senior Consultant,Lead Software Engineer,"Hyderabad, India",,DE-Mobile-iOS_Advanced.,creq265742
Senior Consultant,Lead Software Engineer,"Hyderabad, India",,DA-AIML Assurance.,creq265952
Java Fullstack,Senior Software Engineer,"Hyderabad, India",,DE-Full Stack Foundation.,creq263681
GenAI Developer,Lead Software Engineer,"Chennai, India",,AILab-GENAI-Kore.AI.,creq264838
Java,Software Engineer,"Bangalore, India",,"DE-Full Stack, REST API, ORM, NO SQL.",creq264687
BA - Business banking,Lead Software Engineer,"Hyderabad, India",,CS-BFS-CB-TRAD-FIN.,creq263140
AI Native,Senior Lead Software Engineer,"Bangalore, India",,DA-GenAIAssurance.,creq233028
